name,byname,belonging,population,girls_population,mailaddress,twitter,homepage,"Youtube,インスタグラムなどのその他アカウント",campus,area,clubroom,festival,festival_doing,intercollegiate_group,intercollegiate_population,affiliated_schools,action_day,minimum_day,action,action_career,sponsor,need_tool,april,may,june,july,august,september,october,november,december,january,february,march,nomikai_frequency,nomikai_intensity,couple,handsome_beauty,honest,serious,past_questions,find_work,introduction
慶應義塾大学ボウリングクラブ,ボウリングクラブ,その他公認団体,22,0,なし,@keio_bowling,,,特に指定なし,東京ポートボウル,,参加しなかった。,,,,,毎週土曜日,特になし,学年問わず混じり合い、教え合いながら練習,"全日本新人ボウリング選手権大会優勝
 令和1年度秋季関東リーグ3位入賞",,ボウリングを楽しめる心！,春季リーグ,総会、春季リーグ,春季リーグ,早慶戦,合宿、関東学生選手権,秋季リーグ、新人リーグ,秋季リーグ,全日本大学選手権、早慶戦、秋季リーグ、関東学生個人選手権、関東学生新人リーグ,納会,,全日本大学個人選手権、関東学連オープン,関東学生個人選抜選手権,週1回,控え目,いない,普通,真面目,プロ,まあ出回る,OBに資生堂関連会社の会長がいたりする。,関東から全国までの大学の人々と仲良くなれる上、OBとのつながりが強く社会勉強にもなります！OBさん曰く就職のお手伝いがたくさんできるそう。。
マンドリンクラブ,KMC,文化団体連盟,60,35,mailto:keiomandolinclub@yahoo.co.jp,@keio_mandolin,https://note.mu/kmc_orientation,,日吉,合同練習室、大ホール,206 (手前側),参加しなかった。,,,,早稲田大学,火曜、木曜、土曜の夕方,特になし,合奏 パート練習,,,楽器(初心者用貸し楽器あり),新歓,新歓合宿 春期定期演奏会,,,夏合宿,,ALL KMC コンサート (中高三田会との合同演奏会),,冬期定期演奏会,,春合宿,,2週間に1回,控え目,少なめ,普通,真面目,同好会,出回ったのを見たことがある。,,"マンドリンというやや珍しい楽器を中心とした演奏団体です。大学からでも始めやすいところがマンドリンの魅力です！
 クラッシックギターやコントラバス、フルートやクラリネットも募集しております。
 ぜひ気軽に見学にきてください🎵"
慶應義塾大学薬学部ジャグリング&マジックサークルTRICKSTER,トリスタ,不明,15,5,なし,@TRICKSTER_kp,,,芝共立,芝共立キャンパス体育館,,参加しなかった。,,,,,火・水曜日の週二回,特になし,体育館での練習,,,,新歓食事会、ウェルカムパーティー,道具購入会,特になし,特になし,合宿,特になし,芝共薬祭ステージ発表,特になし,特になし,特になし,特になし,特になし,なし～年1回,飲まない,いない,少な目,かなり真面目,遊び,出回ったのを見たことがある。,,"初心者、経験者問わず大歓迎！
 練習では楽しくジャグリングしています！
 ジャグリング以外にも様々な道具があり、好きな道具を先輩から借りるのもアリ！
 優しい先輩方が丁寧に教えてくれるので練習すればそこのあなたもできるようになります！！
 是非一度遊びに来てください！"
芝大門茶道部,,独立団体,17,13,shibasadou2020@gmail.com,@KEIOshiba_sadou,,,芝共立,芝共立キャンパス,芝共立キャンパス1号館5階の和室,参加しなかった。,,,,,毎週火曜日,特になし,和室でのお茶会に向けてのお稽古,,,お稽古に必要な道具,春のお茶会,特になし,特になし,特になし,部活旅行,特になし,秋のお茶会(芝祭),特になし,特になし,特になし,特になし,追いコン,なし～年1回,控え目,いない,多め,真面目,同好会,まあ出回る,,芝大門茶道部は芝共立キャンパスで活動している表千家の茶道部です。薬学部生も他学部生も未経験者も大歓迎！！優しく明るい先生や部員と茶道を通して和の心に触れてみませんか？
経済新人会マーケティング研究部,経新マーケ、マーケ,文化団体連盟,300,2:01,なし,@keio_marke2019,http://www.k-shin.org/sections/marketing/,インスタグラム:@keio.market,日吉,22番教室、23番教室,,参加した,屋台：コーンスープ販売,,,,週2、月・木,特になし,勉強会、ビジコン、納涼船などのイベント,,,,新歓オリエンテーション,新歓旅行、通常部会,通常部会、前期ビジコン、BBQ、慶早戦,通常部会,納涼船、Compass,夏旅行、通常部会,通常部会、OB総会、OB勉強会,通常部会、後期ビジコン、三田祭,通常部会、クリスマスパーティー,通常部会,通常部会、同期旅行,,活動後毎回,普通,多め,多め,普通,セミプロ,まあ出回る,縦の繋がりが強いため。,学ぶ・考える・遊ぶの3つを柱に活動を行なっています！勉強会やビジコンを中心にマーケティングの知識を身につけることが出来たり、夏旅行や納涼船などのイベントにもたくさん参加することができる、勉強と遊びの両立をモットーとしたサークルです！！！
ライト・ミュージック・ソサイェティ,ライト、KLMS,文化団体連盟,52,3:02,mailto:keio.jazz.light@gmail.com,@KeioLight,https://www.keiolight.com/,https://www.youtube.com/user/KLMSvideo,三田,三田キャンパスの音楽練習室,,参加した,"メインステージ、および教室での演奏
 2019年度はボーカリストの佐藤竹善さんと共演しました。",,,,火、土,基本的に全参加,ビッグバンドジャズ,学生ビッグバンドの全国大会、山野ビッグバンドジャズコンテストでは2015〜2017年度で3連覇、2018年で第3位、2019年度では再び第1位受賞。,,楽器(持っていなくても貸し出し楽器に数があります),新歓オリエンテーション,,ジョイントコンサート,ジョイントコンサート,山野ビッグバンドジャズコンテスト,ステラジャムコンテスト(Jr.バンドの大会),,三田祭,OB会,,ジョイントコンサート,リサイタル,半期に1回～月1回,控え目,普通,普通,真面目,セミプロ,まあ出回る,,"慶應義塾大学ライト・ミュージック・ソサイェティは日本で最も歴史の長い、学生ジャズビッグバンドサークルです。2019年度の学生ビッグバンドの全国大会、山野ビッグバンドジャズコンテストにおいては第1位最優秀賞を受賞しました。
 ジャズの変化を追い続け、最先端の音楽をお客様に届けることをポリシーに活動しています。"
放送研究会,慶応放研,文化団体連盟,120,1:01,keiodaigakuhosokenkyukai2020@gmail.com,@keiohoken2020,,インスタグラム: 慶応大学放送研究会 2020,"日吉, 三田",日吉キャンパス塾生会館405号室 日吉キャンパス放課後の空き教室,,参加した,発表会( 自作のドラマ、MV、DJ番組などの発表 ),,,,不定期ですが、年に50回のアナウンス講習と年4回のパート会開催など、一年中活動しています。,特になし,アナウンス講習、自作のドラマ作成、PAなど様々で、自分のやりたいことができます。,,,部室に普段では扱う機会の少ないであろう機材で、自分の作りたいものが作れます。,新歓オリエンテーション 新歓発表会 新歓ディズニー,春の慶早戦PA,DJ大会,サステイニングプログラム (1年生がラジオドラマを作成します。浴衣で花火をするなど、青春っぽい企画があります。),前期発表会,秋のアナウンス合宿、ビデオコンテスト,秋の慶早戦PA,三田祭発表会(サテライトスタジオ) 、三田祭PA,ラストパート会,,春のアナウンス合宿,一年生発表会,活動後毎回,飲まない,多め,多め,普通,プロ,めちゃ強い,OBにアナウンサーや放送作家などメディア業界に多数在籍。メディア業界へのパイプは抜群。,年3回の発表会、年50回のアナウンス講習、年4回の各パート会(ビデオ、ドラマ、MC、DJ、報道)など、一年中活動しています。アナウンサー志望、ビデオ制作に興味のある方はもちろん、大学から何か夢中になれることを見つけたい方大歓迎です。本当にやってみたいことができるサークルなので、興味があればぜひ！
放送研究会,放研,文化団体連盟,63,約１：１,keiodaigakuhosokenkyukai2020@gmail.com,@KBS_shinkan2020,,インスタグラム：kbs_shinkan2020,日吉,日吉キャンパス塾生会館405号室、昼休憩、放課後の空き教室、,,参加した,発表会：自作のドラマ、MV、DJ番組などを発表,,,,不定期、イベント目白押しで1年中活動しています。,特になし,年3回の発表会、年50回のアナウンス講習、年4回の各パート会（ドラマ、ビデオ、DJ、MC、報道）、合宿でのドラマ制作など,年3回の発表会、他様々な外部依頼（三田祭での司会や外部団体のPAなど）,,特になし,新勧コンパ、新勧発表会、新歓ディズニー,春の慶早戦PA,DJ大会（1年生が協力してDJ番組を作成）,サステイニングプログラム (1年生が協力してラジオドラマを作成、浴衣で花火など青春っぽいイベントも）,前期納会、前期発表会、全体合宿,秋のアナウンス合宿、ビデオコンテスト,秋の慶早戦PA,三田祭発表会（サテライトスタジオ）、三田祭PA,後期納会、ラストパート会,,春のアナウンス合宿,1年生発表会,活動後毎回,普通,多め,多め,普通,アマチュア,めちゃ強い,エンタメ業界活躍中のOBOG多数存在。縦のつながりが強いサークルのため。,メディア、マスコミ、エンタメ業界に興味のある人たちが集まって、アナウンス技術の向上や映像制作、音響など幅広い活動を行っています。主な活動内容は、年3回の発表会、年50回のアナウンス講習、年4回のパート会（ビデオ、ドラマ、DJ、MC、報道）など1年中活動しています。アナウンサー志望の方、映像制作に興味のある方はもちろん、興味はないけど大学に入って何か新しいことを始めたいという方、単純にテレビやラジオ、映画が好き！って方にぴったりのサークルです。
国際政経研究会,こくさいせいけいけんきゅうかい,文化団体連盟,15,15:01,keio.international.pol.eco@gmail.com,@kokusaiseikeio,https://kokusaiseikei.weebly.com,,"日吉, 三田",日吉キャンパス内の教室,,参加した,学生論文集『Spur』の頒布,,,,毎週木曜日,特になし,毎週木曜日の定例勉強会（読書会）、学生論文集『Spur』の刊行・頒布、夏合宿、他大学友好団体（早稲田大学政治経済攻究会など）との合同勉強会,なし,なし,特になし（定例勉強会で扱う文献および筆記用具を持参することを推奨する）,新歓勉強会、定例勉強会,新歓巡検、定例勉強会,春学期総会、定例勉強会,なし,夏合宿,定例勉強会,定例勉強会,三田祭、定例勉強会,定例勉強会、秋学期総会,なし,なし,慶和会（OBOG会）、早稲田大学政治経済攻究会との合同勉強会,週1回,飲まない,いない,少な目,真面目,同好会,出回ったのを見たことがある。,,私たち国際政経研究会は、体系的知識の獲得と共有を目指し、定例勉強会（読書会）と三田祭論文の2つを柱に活動しています。読書会では、毎週1冊（大半はいわゆる古典です）、文献の内容を確認し、議論しています。春学期は、国際政治を中心に、政治思想、経済史に関する文献を読んでいく予定です（マックス・ヴェーバー『職業としての政治』、高坂正堯『国際政治』、岡義武『国際政治史』など）。また、三田祭論文では、読書会や自らの学習で得た知識や研究の成果を論文にし、三田祭でまとめて論文集として頒布しています。昨年は、「『ポスト冷戦』を総括する」というテーマで、冷戦が終わって30年経過した現代世界を人文・社会科学的手法を用いて分析しました。その他、巡検、夏合宿、早大との合同勉強会など知見を広げ、親睦を深めるためのイベントも豊富です。コンパもやります。塾生なら誰でも歓迎、遊びに来る感覚で気軽にお越し下さい！
ロボット技術研究会,ロ技研、KRA,文化団体連盟,50,7:01,keiorogiken@gmail.com,@KRA_Rogiken,https://keiorogiken.wordpress.com/,フェイスブック[@keiorogiken],矢上,矢上部室、日吉部室、教室、体育館,,参加しなかった。,,,,,土曜日＋必要に応じて,前期は基本土曜日,ロボコンに向けてのロボット製作、各々の作品製作や研究など,NHK学生ロボコン2019特別賞受賞、全日本飛行ロボットコンテスト決勝進出など,なし,PCはあった方が良い,体験入会、歓迎会,講習会,講習会,新入生向けロボコンに向けたロボット製作,合宿、新入生向けロボコンに向けたロボット製作,新入生向けロボコン出場,各種ロボコン、個人研究,定例会、各種ロボコン、個人研究,忘年会、各種ロボコン、個人研究,各種ロボコン、個人研究,各種ロボコン、個人研究,各種ロボコン、個人研究,半期に1回～月1回,控え目,少なめ,普通,かなり真面目,プロ,まあ出回る,ロボコン経験者は就職先でアピールができる。,当サークルはロボットを作り、各種ロボコン（NHK学生ロボコン、飛行ロボットコンテスト、マイクロマウス、かわさきロボットコンテスト等）に出場しています。他にもロボコンに参加しなくても、個人での電子工作など自由に活動できます。大学で学ぶ制御等の知識をいち早く学び、実践でき、CADも使えるようになります。新入生ロボコンでロボット製作のイロハを学び、ロボットを動かすためのプログラム、電子回路、機体設計の知識、各自好きなものを学び、どんどんスキルアップできます。さらに、３Dプリンターなどの個人では使えない設備を無料で使えます。
慶應義塾大学辯論部藤沢会,慶應弁論部、藤沢会,不明,17,16:01,keio.benron.fujisawakai@gmail.com,@kbb_fujisawa20,,,SFC,部室、空き教室、三田演説館,,参加しなかった。,,,,,毎週水曜日:定例会、不定期週末:大会,特にないが、積極的な参加を求める。,弁論活動（スピーチ、演説）、研究発表（社会科学一般に関する勉強会）,学生弁論大会での優勝、入賞多数,エルゴー会（当部OB会）,特になし,新歓、花見with他大弁論部,新歓合宿,通常活動,通常活動,バーベキューwith他大弁論部、夏休み,通常活動,大会シーズン,大会シーズン、学生弁論大会の主催,大会シーズン,通常活動,スキー合宿,新歓準備,活動後毎回,飲まない,いない,いない,真面目,アマチュア,出回ったのを見たことがある。,活動において養われるスキルが企業から評価されている。また、OBも社会で活躍されており、人脈がある。,当会は慶應義塾大学辯論部のSFCを拠点とする藤沢会です。慶應義塾大学弁論部は福澤先生が設立に携わった、140年以上の歴史を誇る、日本最古の学生団体の一つです。活動内容の主軸は弁論大会への出場や、その原稿作成です。弁論とは、簡単に言えば、演説やスピーチで、扱うテーマは主に社会科学系です。社会に存在する問題を発見し、その解決策まで検討するので、社会科学に対しての知見や論理的思考力、データ収集力が身につきます。また、その研究内容を発表するところまでが弁論なので、プレゼンテーション能力なども身につけることができます。
ファンタジー研究会,ファン研,文化団体連盟,15,10:05,kftken@gmail.com,@kftken,https://sites.google.com/site/kftken/home,,日吉,日吉キャンパス塾生会館302号室,,参加した,三田祭ではメンバーの創作小説を収録した冊子や研究誌を販売しました。,,,,毎週土曜日,特になし,普段の活動では、ボードゲームやカードゲーム、TRPGなどで遊ぶことが多いです。,,,,新歓期での自作冊子の発行、自作冊子の合評会、通常活動,通常活動,通常活動,通常活動,通常活動,三田祭の準備、通常活動,三田祭の準備、通常活動,三田祭の準備、通常活動,通常活動,通常活動,通常活動,通常活動,なし～年1回,控え目,いない,普通,普通,同好会,出回ったのを見たことがある。,,"こんにちは。慶應義塾大学文化団体連盟所属、大学公認サークルのファンタジー研究会です。
 
 私たちファンタジー研究会は、日吉キャンパス塾生会館3階302号室奥にて、毎週土曜日に活動しています。
 普段の活動では、ボードゲームやカードゲーム、TRPGなどで遊ぶことが多いです。
 クトゥルフ、シノビガミ、ドミニオン…など、どこかで聞いたこともあるゲームから、少しマイナーなゲームまで幅広くやっています。
 もちろんこれらのゲームをご存じない方も、興味さえあればルールを一から丁寧に教えますので気おくれする必要はありません！
 土曜日だけでなく、平日の昼休みや空きコマにも、部室でゲーム等をしている部員がいます。
 
 4月の新歓期などの折には、サークルメンバーの製作した小説・イラスト等の作品をまとめた冊子『夢幻』を発行しています。
 『夢幻』発行後は合評会を行い、互いの作品について感想を伝えあっています。
 『夢幻』に掲載する作品は自由度が高い上、寄稿者数が少ない現状では、小説作品には文字数制限がありません。ちょっと長い創作小説を読んでもらいたい！ 自分の作ったイラストや小説について、面と向かって感想をもらいたい！ という方にはぴったりのサークルです。
 
 三田祭では、ひとつのテーマ（武器、建物、宝石、書物、職業etc...)を決めて、それぞれテーマに合致する題材を選び、研究をして研究誌として販売することもあります。
 
 塾生会館302号室の本棚には、先輩やOBの皆様から提供していただいたファンタジー小説やライトノベル、TRPGのルールブック、TRPGのリプレイなどがたくさんあります。部室で読むのはもちろん、部員なら貸出OKです。
 
 ゲームやTRPGのみ、あるいは創作のみなど、どちらか一方のみの活動に参加することもできます。
 見学・入部はいつでも大歓迎です。"
能楽研究会宝生流,宝生会、慶応宝生会,文化団体連盟,11,6,keio.hosho@gmail.com,@keio_hoshokai,http://keiohosyo.web.fc2.com/,,日吉,日吉和室、もしくは日吉周辺公共施設の和室,,参加した,西校舎にて、能の仕舞という簡略版の舞を披露しました。,,,,隔週月曜、火曜,完全自由参加。特に縛りはありません,能の仕舞にて舞を、素謡にて能における歌を学び実演します。,,,やる気,新歓、横浜能楽堂謡曲大会出演,遠足,関東宝生流学生能楽連盟自演会,,合宿(自由参加)、七葉会出演(発表会),,,三田祭自演会,関東宝生流能楽学生連盟自演会出演,,新年会(発表会),追いコン,半期に1回～月1回,控え目,いない,普通,普通,同好会,出回ったのを見たことがある。,,"私達能楽研究会宝生流は月に4回、能楽師の先生の指導の下、能の稽古をするサークルです！
 能とは、日本の古典をもとに歌を歌ったり舞を舞ったりする日本の伝統芸能で、今やユネスコ無形文化遺産にもなっています！能って難しそうだし経験がないとつらそう......と思われるかもしれません。しかし！入部者殆どが大学から始めた人たちばかりで、先生も大変お優しい方です。古文の知識に自信がなくても、自分のペースで楽しみながら能を学ぶ事ができます！ 他サークルとの兼部も大歓迎ですし、試験・アルバイトの優先も大丈夫です！
 少人数のため、上下関係は厳しくなく、のほほんと穏やかに活動しています。他大学との交流や舞の発表会の他に夏休みの合宿など楽しいイベントも盛り沢山です！ 
 少しでも興味を持たれたら、このサークルの公式Twitter、HPも覗いてみてください！
 見学や入部をしたい方は一年中いつでもウェルカムです！ 
 ぜひ私達と一緒に能を舞いましょう"
